Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.3200531780665429
75% Corpus,4,0.01,0.31,0.29538559116360463
75% Corpus,4,0.01,0.61,0.3515899035433631
75% Corpus,4,0.01,0.9099999999999999,0.38520336235831554
75% Corpus,4,0.01,symmetric,0.28872807491657965
75% Corpus,4,0.31,0.01,0.28726630411404674
75% Corpus,4,0.31,0.31,0.3127364321882844
75% Corpus,4,0.31,0.61,0.34264113122767836
75% Corpus,4,0.31,0.9099999999999999,0.3976767002329324
75% Corpus,4,0.31,symmetric,0.29650733975306387
75% Corpus,4,0.61,0.01,0.30131672415893335
75% Corpus,4,0.61,0.31,0.3238041382565616
75% Corpus,4,0.61,0.61,0.33743643732524853
75% Corpus,4,0.61,0.9099999999999999,0.3612472359416266
75% Corpus,4,0.61,symmetric,0.3245678810105472
75% Corpus,4,0.9099999999999999,0.01,0.2932210880134789
75% Corpus,4,0.9099999999999999,0.31,0.33332946339249653
75% Corpus,4,0.9099999999999999,0.61,0.33386050179850074
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3804471781422232
75% Corpus,4,0.9099999999999999,symmetric,0.29749742413756874
75% Corpus,4,symmetric,0.01,0.2901466999286635
75% Corpus,4,symmetric,0.31,0.3315073168312081
75% Corpus,4,symmetric,0.61,0.32544632088528214
75% Corpus,4,symmetric,0.9099999999999999,0.38622055437485586
75% Corpus,4,symmetric,symmetric,0.3104490171933326
75% Corpus,4,asymmetric,0.01,0.32225344520884447
75% Corpus,4,asymmetric,0.31,0.34385307688942646
75% Corpus,4,asymmetric,0.61,0.4163692509562572
75% Corpus,4,asymmetric,0.9099999999999999,0.49151096562653285
75% Corpus,4,asymmetric,symmetric,0.34145882703400343
75% Corpus,5,0.01,0.01,0.29486897155481484
75% Corpus,5,0.01,0.31,0.3246521621309203
75% Corpus,5,0.01,0.61,0.34669888613363486
75% Corpus,5,0.01,0.9099999999999999,0.3728755297117504
75% Corpus,5,0.01,symmetric,0.3293117683628198
75% Corpus,5,0.31,0.01,0.30020634846320454
75% Corpus,5,0.31,0.31,0.32987785609262604
75% Corpus,5,0.31,0.61,0.34136724384119216
75% Corpus,5,0.31,0.9099999999999999,0.41984189855950127
75% Corpus,5,0.31,symmetric,0.3366433497457977
75% Corpus,5,0.61,0.01,0.31954892416145925
75% Corpus,5,0.61,0.31,0.3560859008980344
75% Corpus,5,0.61,0.61,0.37116139819802707
75% Corpus,5,0.61,0.9099999999999999,0.43374304170051853
75% Corpus,5,0.61,symmetric,0.35723338692837014
75% Corpus,5,0.9099999999999999,0.01,0.34135129339048936
75% Corpus,5,0.9099999999999999,0.31,0.3584247038945613
75% Corpus,5,0.9099999999999999,0.61,0.3462931002011052
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.35526410759224325
75% Corpus,5,0.9099999999999999,symmetric,0.34195447815987495
75% Corpus,5,symmetric,0.01,0.29276106078827235
75% Corpus,5,symmetric,0.31,0.316789779638737
75% Corpus,5,symmetric,0.61,0.32178987561938927
75% Corpus,5,symmetric,0.9099999999999999,0.3872823116895875
75% Corpus,5,symmetric,symmetric,0.33818255495149635
75% Corpus,5,asymmetric,0.01,0.3367032981706113
75% Corpus,5,asymmetric,0.31,0.3921866562823688
75% Corpus,5,asymmetric,0.61,0.44114342256980016
75% Corpus,5,asymmetric,0.9099999999999999,0.496681564941877
75% Corpus,5,asymmetric,symmetric,0.32709001810241595
75% Corpus,6,0.01,0.01,0.3333487220967261
75% Corpus,6,0.01,0.31,0.3800609718495387
75% Corpus,6,0.01,0.61,0.4046716337005347
75% Corpus,6,0.01,0.9099999999999999,0.4287047168350413
75% Corpus,6,0.01,symmetric,0.3625513617231351
75% Corpus,6,0.31,0.01,0.31644577177588834
75% Corpus,6,0.31,0.31,0.3817193371540178
75% Corpus,6,0.31,0.61,0.4119326930256489
75% Corpus,6,0.31,0.9099999999999999,0.49290490376654295
75% Corpus,6,0.31,symmetric,0.3721447494588744
75% Corpus,6,0.61,0.01,0.32918599253438546
75% Corpus,6,0.61,0.31,0.3590765119701522
75% Corpus,6,0.61,0.61,0.39417099451594145
75% Corpus,6,0.61,0.9099999999999999,0.3687398836048175
75% Corpus,6,0.61,symmetric,0.3498404190173676
75% Corpus,6,0.9099999999999999,0.01,0.3311733691412484
75% Corpus,6,0.9099999999999999,0.31,0.3807119350948082
75% Corpus,6,0.9099999999999999,0.61,0.3601913035911964
