Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.5440053810055582
75% Corpus,4,0.01,0.31,0.4593407047595916
75% Corpus,4,0.01,0.61,0.4918627030493873
75% Corpus,4,0.01,0.9099999999999999,0.4644331167153427
75% Corpus,4,0.01,symmetric,0.47203765407616954
75% Corpus,4,0.31,0.01,0.554554980944397
75% Corpus,4,0.31,0.31,0.5029812758339337
75% Corpus,4,0.31,0.61,0.4253890519678374
75% Corpus,4,0.31,0.9099999999999999,0.4315119432397353
75% Corpus,4,0.31,symmetric,0.47417324658211873
75% Corpus,4,0.61,0.01,0.552713157830871
75% Corpus,4,0.61,0.31,0.4733257778943643
75% Corpus,4,0.61,0.61,0.4520629073783445
75% Corpus,4,0.61,0.9099999999999999,0.43766759898547675
75% Corpus,4,0.61,symmetric,0.49460659129171436
75% Corpus,4,0.9099999999999999,0.01,0.5855888525000921
75% Corpus,4,0.9099999999999999,0.31,0.46894680261294297
75% Corpus,4,0.9099999999999999,0.61,0.4543755947533825
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.39894365474169047
75% Corpus,4,0.9099999999999999,symmetric,0.5083561311750111
75% Corpus,4,symmetric,0.01,0.5574170197200284
75% Corpus,4,symmetric,0.31,0.4479021086934778
75% Corpus,4,symmetric,0.61,0.4458405497020421
75% Corpus,4,symmetric,0.9099999999999999,0.4671282847045033
75% Corpus,4,symmetric,symmetric,0.48802677760622626
75% Corpus,4,asymmetric,0.01,0.5069537852370504
75% Corpus,4,asymmetric,0.31,0.5304650878701023
75% Corpus,4,asymmetric,0.61,0.486663145009112
75% Corpus,4,asymmetric,0.9099999999999999,0.3999247834547728
75% Corpus,4,asymmetric,symmetric,0.5430825144177625
75% Corpus,5,0.01,0.01,0.5479375405942278
75% Corpus,5,0.01,0.31,0.4713511181710171
75% Corpus,5,0.01,0.61,0.47980784509264574
75% Corpus,5,0.01,0.9099999999999999,0.44686499514838374
75% Corpus,5,0.01,symmetric,0.5238205968761884
75% Corpus,5,0.31,0.01,0.5547103256153975
75% Corpus,5,0.31,0.31,0.4510927887403057
75% Corpus,5,0.31,0.61,0.42931277794617984
75% Corpus,5,0.31,0.9099999999999999,0.44268869225595414
75% Corpus,5,0.31,symmetric,0.4993161437094328
75% Corpus,5,0.61,0.01,0.591036253893066
75% Corpus,5,0.61,0.31,0.45713574657618333
75% Corpus,5,0.61,0.61,0.46660169843430194
75% Corpus,5,0.61,0.9099999999999999,0.43553715238609225
75% Corpus,5,0.61,symmetric,0.4452357924369824
75% Corpus,5,0.9099999999999999,0.01,0.6023019324801384
75% Corpus,5,0.9099999999999999,0.31,0.4833506603206016
75% Corpus,5,0.9099999999999999,0.61,0.4289001863669458
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.37113939943756247
75% Corpus,5,0.9099999999999999,symmetric,0.5172831387972661
75% Corpus,5,symmetric,0.01,0.5821070263650527
75% Corpus,5,symmetric,0.31,0.4585032883876298
75% Corpus,5,symmetric,0.61,0.42041376390052354
75% Corpus,5,symmetric,0.9099999999999999,0.4452560066378631
75% Corpus,5,symmetric,symmetric,0.4975775379931795
75% Corpus,5,asymmetric,0.01,0.4718437710362977
75% Corpus,5,asymmetric,0.31,0.49829473312393935
75% Corpus,5,asymmetric,0.61,0.42169793044097537
75% Corpus,5,asymmetric,0.9099999999999999,0.40581267951688627
75% Corpus,5,asymmetric,symmetric,0.5031909235477434
75% Corpus,6,0.01,0.01,0.5577235183378303
75% Corpus,6,0.01,0.31,0.4321919335098794
75% Corpus,6,0.01,0.61,0.46404740201942535
75% Corpus,6,0.01,0.9099999999999999,0.4708879565670065
75% Corpus,6,0.01,symmetric,0.5196218295848621
75% Corpus,6,0.31,0.01,0.5710714772314819
75% Corpus,6,0.31,0.31,0.4859249875196095
75% Corpus,6,0.31,0.61,0.46494295885306974
75% Corpus,6,0.31,0.9099999999999999,0.4279066452100015
75% Corpus,6,0.31,symmetric,0.5035980727405825
75% Corpus,6,0.61,0.01,0.5859574954720631
75% Corpus,6,0.61,0.31,0.461582254762207
75% Corpus,6,0.61,0.61,0.43850383717694735
75% Corpus,6,0.61,0.9099999999999999,0.40611185112414466
75% Corpus,6,0.61,symmetric,0.4960463010483753
75% Corpus,6,0.9099999999999999,0.01,0.6070001203002496
75% Corpus,6,0.9099999999999999,0.31,0.4964146398795993
75% Corpus,6,0.9099999999999999,0.61,0.3790294850958573
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4667684669932064
75% Corpus,6,0.9099999999999999,symmetric,0.5079589793434527
75% Corpus,6,symmetric,0.01,0.5744462155929045
75% Corpus,6,symmetric,0.31,0.4759019413520022
75% Corpus,6,symmetric,0.61,0.4427630665095441
75% Corpus,6,symmetric,0.9099999999999999,0.4361609524376126
75% Corpus,6,symmetric,symmetric,0.49136432725104656
75% Corpus,6,asymmetric,0.01,0.4510874535336453
75% Corpus,6,asymmetric,0.31,0.4683657900170029
75% Corpus,6,asymmetric,0.61,0.388793708092744
75% Corpus,6,asymmetric,0.9099999999999999,0.4175794071311956
75% Corpus,6,asymmetric,symmetric,0.4844285750236598
75% Corpus,7,0.01,0.01,0.5242815348155646
75% Corpus,7,0.01,0.31,0.43052012964914843
75% Corpus,7,0.01,0.61,0.431263591795717
75% Corpus,7,0.01,0.9099999999999999,0.42977872412184365
75% Corpus,7,0.01,symmetric,0.5057038568418488
75% Corpus,7,0.31,0.01,0.5281503199049397
75% Corpus,7,0.31,0.31,0.46723514691234985
75% Corpus,7,0.31,0.61,0.42121248349110335
75% Corpus,7,0.31,0.9099999999999999,0.4188894396481829
75% Corpus,7,0.31,symmetric,0.4769666887229386
75% Corpus,7,0.61,0.01,0.49817136692847525
75% Corpus,7,0.61,0.31,0.4687329218535451
75% Corpus,7,0.61,0.61,0.4081573077544092
75% Corpus,7,0.61,0.9099999999999999,0.3129541646806492
75% Corpus,7,0.61,symmetric,0.4590077057171245
75% Corpus,7,0.9099999999999999,0.01,0.5923363116198741
75% Corpus,7,0.9099999999999999,0.31,0.4488833746776927
75% Corpus,7,0.9099999999999999,0.61,0.4379990776938666
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4448243435545144
75% Corpus,7,0.9099999999999999,symmetric,0.48645396133120145
75% Corpus,7,symmetric,0.01,0.5317322816946329
75% Corpus,7,symmetric,0.31,0.44714121218676856
75% Corpus,7,symmetric,0.61,0.4522061537269605
75% Corpus,7,symmetric,0.9099999999999999,0.42808859508475383
75% Corpus,7,symmetric,symmetric,0.47205355160113766
75% Corpus,7,asymmetric,0.01,0.475189871397055
75% Corpus,7,asymmetric,0.31,0.3879616598193304
75% Corpus,7,asymmetric,0.61,0.378799395970226
75% Corpus,7,asymmetric,0.9099999999999999,0.3843554973654967
75% Corpus,7,asymmetric,symmetric,0.4817036664765758
75% Corpus,8,0.01,0.01,0.4734230446341824
75% Corpus,8,0.01,0.31,0.3861065222720407
75% Corpus,8,0.01,0.61,0.38495717154761877
75% Corpus,8,0.01,0.9099999999999999,0.37381356780127495
