Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.3008131550720247
75% Corpus,4,0.01,0.31,0.36627379434375285
75% Corpus,4,0.01,0.61,0.33065338369646136
75% Corpus,4,0.01,0.9099999999999999,0.2777685543285085
75% Corpus,4,0.01,symmetric,0.37429998948744725
75% Corpus,4,0.31,0.01,0.31702257258503796
75% Corpus,4,0.31,0.31,0.29724055405235944
75% Corpus,4,0.31,0.61,0.26107261853681296
75% Corpus,4,0.31,0.9099999999999999,0.31228380324292165
75% Corpus,4,0.31,symmetric,0.298263808806853
75% Corpus,4,0.61,0.01,0.35810649040708803
75% Corpus,4,0.61,0.31,0.3154163840193979
75% Corpus,4,0.61,0.61,0.293610517044268
75% Corpus,4,0.61,0.9099999999999999,0.23816450647447993
75% Corpus,4,0.61,symmetric,0.32086728982814683
75% Corpus,4,0.9099999999999999,0.01,0.36493876010408177
75% Corpus,4,0.9099999999999999,0.31,0.3072642989855439
75% Corpus,4,0.9099999999999999,0.61,0.30514481714993
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3019285849226909
75% Corpus,4,0.9099999999999999,symmetric,0.313204475848517
75% Corpus,4,symmetric,0.01,0.3318603462285519
75% Corpus,4,symmetric,0.31,0.27578065811441144
75% Corpus,4,symmetric,0.61,0.2736637075974012
75% Corpus,4,symmetric,0.9099999999999999,0.3154637665152939
75% Corpus,4,symmetric,symmetric,0.27829841717013204
75% Corpus,4,asymmetric,0.01,0.47638242795208097
75% Corpus,4,asymmetric,0.31,0.4321165051542052
75% Corpus,4,asymmetric,0.61,0.4229000043277379
75% Corpus,4,asymmetric,0.9099999999999999,0.4226042369851353
75% Corpus,4,asymmetric,symmetric,0.4427823588780254
75% Corpus,5,0.01,0.01,0.2748756207343138
75% Corpus,5,0.01,0.31,0.3137256499836598
75% Corpus,5,0.01,0.61,0.3052988080279113
75% Corpus,5,0.01,0.9099999999999999,0.3235629599271636
75% Corpus,5,0.01,symmetric,0.32670273747929846
75% Corpus,5,0.31,0.01,0.2984062272166604
75% Corpus,5,0.31,0.31,0.31652592109209154
75% Corpus,5,0.31,0.61,0.305827464733113
75% Corpus,5,0.31,0.9099999999999999,0.31065080692964064
75% Corpus,5,0.31,symmetric,0.30089560637728197
75% Corpus,5,0.61,0.01,0.3198878207798337
75% Corpus,5,0.61,0.31,0.2864023368253211
75% Corpus,5,0.61,0.61,0.2669630801626047
75% Corpus,5,0.61,0.9099999999999999,0.27604358219937974
75% Corpus,5,0.61,symmetric,0.29731566576509094
75% Corpus,5,0.9099999999999999,0.01,0.35452187574477273
75% Corpus,5,0.9099999999999999,0.31,0.28661126566896356
75% Corpus,5,0.9099999999999999,0.61,0.3181499585546277
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.45348917644262016
75% Corpus,5,0.9099999999999999,symmetric,0.3020512930581803
75% Corpus,5,symmetric,0.01,0.33771114186007856
75% Corpus,5,symmetric,0.31,0.31688696518678006
75% Corpus,5,symmetric,0.61,0.2607356656235282
75% Corpus,5,symmetric,0.9099999999999999,0.3160370358801824
75% Corpus,5,symmetric,symmetric,0.31688696518678006
75% Corpus,5,asymmetric,0.01,0.4723144749923369
75% Corpus,5,asymmetric,0.31,0.47550993084626114
75% Corpus,5,asymmetric,0.61,0.4202401452162463
75% Corpus,5,asymmetric,0.9099999999999999,0.4311770684929742
75% Corpus,5,asymmetric,symmetric,0.46050792621042513
75% Corpus,6,0.01,0.01,0.3259435085497353
75% Corpus,6,0.01,0.31,0.30570782041654626
75% Corpus,6,0.01,0.61,0.29480704557142734
75% Corpus,6,0.01,0.9099999999999999,0.3079737777454149
75% Corpus,6,0.01,symmetric,0.339172129987151
75% Corpus,6,0.31,0.01,0.3081352940240453
75% Corpus,6,0.31,0.31,0.3119353294947143
75% Corpus,6,0.31,0.61,0.31966111796335567
75% Corpus,6,0.31,0.9099999999999999,0.3596403331703815
75% Corpus,6,0.31,symmetric,0.3304777786064824
75% Corpus,6,0.61,0.01,0.3339510969559296
75% Corpus,6,0.61,0.31,0.3080057192926477
75% Corpus,6,0.61,0.61,0.3239895480129323
75% Corpus,6,0.61,0.9099999999999999,0.3390040472133684
75% Corpus,6,0.61,symmetric,0.2934091550820339
75% Corpus,6,0.9099999999999999,0.01,0.37463121723230747
75% Corpus,6,0.9099999999999999,0.31,0.3015523712609825
75% Corpus,6,0.9099999999999999,0.61,0.35000781451155577
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.44932194911725526
75% Corpus,6,0.9099999999999999,symmetric,0.32360843831807845
75% Corpus,6,symmetric,0.01,0.3765560065106523
75% Corpus,6,symmetric,0.31,0.38928344874570736
75% Corpus,6,symmetric,0.61,0.40362539585741014
75% Corpus,6,symmetric,0.9099999999999999,0.31775593332861896
75% Corpus,6,symmetric,symmetric,0.38100829155471255
75% Corpus,6,asymmetric,0.01,0.5119870972725634
75% Corpus,6,asymmetric,0.31,0.4396072790691305
75% Corpus,6,asymmetric,0.61,0.4462357146640434
75% Corpus,6,asymmetric,0.9099999999999999,0.46367903372595426
75% Corpus,6,asymmetric,symmetric,0.47393791680812697
75% Corpus,7,0.01,0.01,0.3596384646034788
75% Corpus,7,0.01,0.31,0.3617660024899156
75% Corpus,7,0.01,0.61,0.3689310318199785
75% Corpus,7,0.01,0.9099999999999999,0.3857934030642243
75% Corpus,7,0.01,symmetric,0.37129961692685365
75% Corpus,7,0.31,0.01,0.4076975370972315
75% Corpus,7,0.31,0.31,0.3675676259252944
75% Corpus,7,0.31,0.61,0.4119954574129288
75% Corpus,7,0.31,0.9099999999999999,0.42073049760948406
75% Corpus,7,0.31,symmetric,0.40493193726723
75% Corpus,7,0.61,0.01,0.3623183361719677
75% Corpus,7,0.61,0.31,0.3312375339235672
75% Corpus,7,0.61,0.61,0.36326375731249644
75% Corpus,7,0.61,0.9099999999999999,0.3736025100908721
75% Corpus,7,0.61,symmetric,0.313616981721192
75% Corpus,7,0.9099999999999999,0.01,0.41094613886126413
75% Corpus,7,0.9099999999999999,0.31,0.3245345674428749
75% Corpus,7,0.9099999999999999,0.61,0.44860877616146927
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4529555889914492
75% Corpus,7,0.9099999999999999,symmetric,0.31534299234453567
75% Corpus,7,symmetric,0.01,0.4391239607016522
75% Corpus,7,symmetric,0.31,0.4315982125911407
75% Corpus,7,symmetric,0.61,0.4302309280238425
75% Corpus,7,symmetric,0.9099999999999999,0.437324353131274
75% Corpus,7,symmetric,symmetric,0.4381506211624474
75% Corpus,7,asymmetric,0.01,0.5059424959513186
75% Corpus,7,asymmetric,0.31,0.4565396068652608
75% Corpus,7,asymmetric,0.61,0.4874173109216588
75% Corpus,7,asymmetric,0.9099999999999999,0.496570028543232
75% Corpus,7,asymmetric,symmetric,0.4769449811863337
75% Corpus,8,0.01,0.01,0.3333716054181277
75% Corpus,8,0.01,0.31,0.3406681291833882
75% Corpus,8,0.01,0.61,0.36679278175554786
75% Corpus,8,0.01,0.9099999999999999,0.3658830934455306
75% Corpus,8,0.01,symmetric,0.33484053293696314
75% Corpus,8,0.31,0.01,0.38273217604645543
75% Corpus,8,0.31,0.31,0.3757020532269981
75% Corpus,8,0.31,0.61,0.41140564607243124
75% Corpus,8,0.31,0.9099999999999999,0.4027527841324108
75% Corpus,8,0.31,symmetric,0.3823938920967625
75% Corpus,8,0.61,0.01,0.4001337621922314
75% Corpus,8,0.61,0.31,0.38189420205081887
75% Corpus,8,0.61,0.61,0.3798610519692994
75% Corpus,8,0.61,0.9099999999999999,0.38984354565397705
75% Corpus,8,0.61,symmetric,0.3615531388721316
75% Corpus,8,0.9099999999999999,0.01,0.44754989589362604
75% Corpus,8,0.9099999999999999,0.31,0.38450256881373235
75% Corpus,8,0.9099999999999999,0.61,0.4458872109545091
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4564472892278135
75% Corpus,8,0.9099999999999999,symmetric,0.3813139033797053
75% Corpus,8,symmetric,0.01,0.42562284369169184
75% Corpus,8,symmetric,0.31,0.42631023094533566
75% Corpus,8,symmetric,0.61,0.41841688863448223
75% Corpus,8,symmetric,0.9099999999999999,0.414504242078704
75% Corpus,8,symmetric,symmetric,0.416543135745262
75% Corpus,8,asymmetric,0.01,0.5064735609724462
75% Corpus,8,asymmetric,0.31,0.42760237908510956
75% Corpus,8,asymmetric,0.61,0.4798990442817783
75% Corpus,8,asymmetric,0.9099999999999999,0.4877580515265059
75% Corpus,8,asymmetric,symmetric,0.46253836848154206
75% Corpus,9,0.01,0.01,0.3409227597566193
75% Corpus,9,0.01,0.31,0.33661853156514365
75% Corpus,9,0.01,0.61,0.3362351366728596
75% Corpus,9,0.01,0.9099999999999999,0.37028858646238594
75% Corpus,9,0.01,symmetric,0.3454430776063519
75% Corpus,9,0.31,0.01,0.39757753020310194
75% Corpus,9,0.31,0.31,0.3834941333433445
75% Corpus,9,0.31,0.61,0.4041319797572516
75% Corpus,9,0.31,0.9099999999999999,0.43204244056426355
75% Corpus,9,0.31,symmetric,0.3878896187250675
75% Corpus,9,0.61,0.01,0.43182781692912325
75% Corpus,9,0.61,0.31,0.39962118272569824
75% Corpus,9,0.61,0.61,0.36130083703969074
75% Corpus,9,0.61,0.9099999999999999,0.4478256045412113
75% Corpus,9,0.61,symmetric,0.3873952941399225
75% Corpus,9,0.9099999999999999,0.01,0.48012837538591285
75% Corpus,9,0.9099999999999999,0.31,0.3695317596863371
75% Corpus,9,0.9099999999999999,0.61,0.44485039135720494
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.46190838699758147
75% Corpus,9,0.9099999999999999,symmetric,0.40308821380611615
75% Corpus,9,symmetric,0.01,0.42169939366273634
75% Corpus,9,symmetric,0.31,0.411876095448768
75% Corpus,9,symmetric,0.61,0.4035368706800406
75% Corpus,9,symmetric,0.9099999999999999,0.3994276737971228
75% Corpus,9,symmetric,symmetric,0.4552605860189828
75% Corpus,9,asymmetric,0.01,0.4672704610106335
75% Corpus,9,asymmetric,0.31,0.4502720727101484
75% Corpus,9,asymmetric,0.61,0.46347277024161837
75% Corpus,9,asymmetric,0.9099999999999999,0.4445052035534356
75% Corpus,9,asymmetric,symmetric,0.485096863168669
75% Corpus,10,0.01,0.01,0.3765601186896634
75% Corpus,10,0.01,0.31,0.34653793207314726
75% Corpus,10,0.01,0.61,0.34379158581358654
75% Corpus,10,0.01,0.9099999999999999,0.3556217431736704
75% Corpus,10,0.01,symmetric,0.37137129413066367
75% Corpus,10,0.31,0.01,0.4135789619310091
75% Corpus,10,0.31,0.31,0.41512567856310045
75% Corpus,10,0.31,0.61,0.44715815742249304
75% Corpus,10,0.31,0.9099999999999999,0.45471401584562343
75% Corpus,10,0.31,symmetric,0.3931691177797795
75% Corpus,10,0.61,0.01,0.4446223196091045
75% Corpus,10,0.61,0.31,0.37054733248782024
75% Corpus,10,0.61,0.61,0.37963080510883845
75% Corpus,10,0.61,0.9099999999999999,0.4513857575107488
75% Corpus,10,0.61,symmetric,0.4035675038871642
75% Corpus,10,0.9099999999999999,0.01,0.4763765621328412
75% Corpus,10,0.9099999999999999,0.31,0.3831492837696718
75% Corpus,10,0.9099999999999999,0.61,0.46185605218410136
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4813362995813916
75% Corpus,10,0.9099999999999999,symmetric,0.4365289925586578
75% Corpus,10,symmetric,0.01,0.4536657772486755
75% Corpus,10,symmetric,0.31,0.4587553525244547
75% Corpus,10,symmetric,0.61,0.4321491039698821
75% Corpus,10,symmetric,0.9099999999999999,0.42145362408771536
75% Corpus,10,symmetric,symmetric,0.46458755428693765
75% Corpus,10,asymmetric,0.01,0.46256286245866124
75% Corpus,10,asymmetric,0.31,0.43452814448735316
75% Corpus,10,asymmetric,0.61,0.4327469351955771
75% Corpus,10,asymmetric,0.9099999999999999,0.44891237399251305
75% Corpus,10,asymmetric,symmetric,0.4701751625588785
75% Corpus,11,0.01,0.01,0.38381507055630454
75% Corpus,11,0.01,0.31,0.34533936287163364
75% Corpus,11,0.01,0.61,0.36199805234050214
75% Corpus,11,0.01,0.9099999999999999,0.3577609777945452
75% Corpus,11,0.01,symmetric,0.3504701458867153
75% Corpus,11,0.31,0.01,0.4313387698374104
75% Corpus,11,0.31,0.31,0.4211776137187464
75% Corpus,11,0.31,0.61,0.46091523105191995
75% Corpus,11,0.31,0.9099999999999999,0.46115149931954436
75% Corpus,11,0.31,symmetric,0.4353544246783842
75% Corpus,11,0.61,0.01,0.45525157791808674
75% Corpus,11,0.61,0.31,0.4067578992025575
75% Corpus,11,0.61,0.61,0.42138377663756904
75% Corpus,11,0.61,0.9099999999999999,0.4462260221928575
75% Corpus,11,0.61,symmetric,0.41593386858133863
75% Corpus,11,0.9099999999999999,0.01,0.5015686441032441
75% Corpus,11,0.9099999999999999,0.31,0.3984434372447349
75% Corpus,11,0.9099999999999999,0.61,0.4701858394649502
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.49420717412730986
75% Corpus,11,0.9099999999999999,symmetric,0.44984092882700416
75% Corpus,11,symmetric,0.01,0.507526975705563
75% Corpus,11,symmetric,0.31,0.4474755390217581
75% Corpus,11,symmetric,0.61,0.43363545134902465
75% Corpus,11,symmetric,0.9099999999999999,0.44599864065008493
75% Corpus,11,symmetric,symmetric,0.47257194740847575
75% Corpus,11,asymmetric,0.01,0.4118010667380199
75% Corpus,11,asymmetric,0.31,0.4439748792213484
75% Corpus,11,asymmetric,0.61,0.4517098180581318
75% Corpus,11,asymmetric,0.9099999999999999,0.4501909318685937
