Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.549977958344251
75% Corpus,4,0.01,0.31,0.5327529916197241
75% Corpus,4,0.01,0.61,0.5212916778369436
75% Corpus,4,0.01,0.9099999999999999,0.517616286687308
75% Corpus,4,0.01,symmetric,0.5345511767434717
75% Corpus,4,0.31,0.01,0.5512793126931261
75% Corpus,4,0.31,0.31,0.5229165338188093
75% Corpus,4,0.31,0.61,0.4992589277719017
75% Corpus,4,0.31,0.9099999999999999,0.4810206129501349
75% Corpus,4,0.31,symmetric,0.5034476776747501
75% Corpus,4,0.61,0.01,0.560011802951577
75% Corpus,4,0.61,0.31,0.5384643001177307
75% Corpus,4,0.61,0.61,0.5231505878420937
75% Corpus,4,0.61,0.9099999999999999,0.46600915729770603
75% Corpus,4,0.61,symmetric,0.5157745768575148
75% Corpus,4,0.9099999999999999,0.01,0.5668213198212747
75% Corpus,4,0.9099999999999999,0.31,0.49352812458861184
75% Corpus,4,0.9099999999999999,0.61,0.4746387153943026
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4530966848665952
75% Corpus,4,0.9099999999999999,symmetric,0.5097202496725295
75% Corpus,4,symmetric,0.01,0.524635879524513
75% Corpus,4,symmetric,0.31,0.5248458045476712
75% Corpus,4,symmetric,0.61,0.4800625505683845
75% Corpus,4,symmetric,0.9099999999999999,0.5473790055771772
75% Corpus,4,symmetric,symmetric,0.5239603485777266
75% Corpus,4,asymmetric,0.01,0.4341915050946311
75% Corpus,4,asymmetric,0.31,0.5258395172344127
75% Corpus,4,asymmetric,0.61,0.5721166722106931
75% Corpus,4,asymmetric,0.9099999999999999,0.5536841488998298
75% Corpus,4,asymmetric,symmetric,0.46427513484003463
75% Corpus,5,0.01,0.01,0.5146389837250833
75% Corpus,5,0.01,0.31,0.48207735720302525
75% Corpus,5,0.01,0.61,0.49008192458763916
75% Corpus,5,0.01,0.9099999999999999,0.492996493435954
75% Corpus,5,0.01,symmetric,0.4954244014938321
75% Corpus,5,0.31,0.01,0.4982449742686922
75% Corpus,5,0.31,0.31,0.4766822170291448
75% Corpus,5,0.31,0.61,0.4803968450281622
75% Corpus,5,0.31,0.9099999999999999,0.4995495524103168
75% Corpus,5,0.31,symmetric,0.489564038434661
75% Corpus,5,0.61,0.01,0.5503829864141808
75% Corpus,5,0.61,0.31,0.4723201461605586
75% Corpus,5,0.61,0.61,0.453130817343735
75% Corpus,5,0.61,0.9099999999999999,0.45891080472191426
75% Corpus,5,0.61,symmetric,0.49928174653424423
75% Corpus,5,0.9099999999999999,0.01,0.5679899222145207
75% Corpus,5,0.9099999999999999,0.31,0.4700982280890872
75% Corpus,5,0.9099999999999999,0.61,0.4363699654533857
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5149964102718145
75% Corpus,5,0.9099999999999999,symmetric,0.508348647814546
75% Corpus,5,symmetric,0.01,0.5302245668874288
75% Corpus,5,symmetric,0.31,0.5007674955939457
75% Corpus,5,symmetric,0.61,0.49011517251604475
75% Corpus,5,symmetric,0.9099999999999999,0.4917440065022478
75% Corpus,5,symmetric,symmetric,0.5079929822258414
75% Corpus,5,asymmetric,0.01,0.4603339721980502
75% Corpus,5,asymmetric,0.31,0.5440046472924379
75% Corpus,5,asymmetric,0.61,0.5747329125869529
75% Corpus,5,asymmetric,0.9099999999999999,0.5837360669230747
75% Corpus,5,asymmetric,symmetric,0.5412741960678874
75% Corpus,6,0.01,0.01,0.4874386789293553
75% Corpus,6,0.01,0.31,0.43791574588755505
75% Corpus,6,0.01,0.61,0.4336830685139732
75% Corpus,6,0.01,0.9099999999999999,0.4581936307881142
75% Corpus,6,0.01,symmetric,0.45073629811887317
75% Corpus,6,0.31,0.01,0.4839303792069507
75% Corpus,6,0.31,0.31,0.4848679881094636
75% Corpus,6,0.31,0.61,0.48802811704924415
75% Corpus,6,0.31,0.9099999999999999,0.44641699485423353
75% Corpus,6,0.31,symmetric,0.4643716879388182
75% Corpus,6,0.61,0.01,0.4758925339656154
75% Corpus,6,0.61,0.31,0.4308625219305606
75% Corpus,6,0.61,0.61,0.3998027732269336
75% Corpus,6,0.61,0.9099999999999999,0.38482373253131724
75% Corpus,6,0.61,symmetric,0.479596720118229
75% Corpus,6,0.9099999999999999,0.01,0.5120025833197228
75% Corpus,6,0.9099999999999999,0.31,0.4369200623184269
75% Corpus,6,0.9099999999999999,0.61,0.4497487078100693
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.56369597589657
75% Corpus,6,0.9099999999999999,symmetric,0.4781782220902792
75% Corpus,6,symmetric,0.01,0.48965714255490284
75% Corpus,6,symmetric,0.31,0.48259374021731777
75% Corpus,6,symmetric,0.61,0.4484200690109687
75% Corpus,6,symmetric,0.9099999999999999,0.45424801611354915
75% Corpus,6,symmetric,symmetric,0.48808967777506845
75% Corpus,6,asymmetric,0.01,0.5007580984800222
75% Corpus,6,asymmetric,0.31,0.5955918883928982
75% Corpus,6,asymmetric,0.61,0.6052095915534702
75% Corpus,6,asymmetric,0.9099999999999999,0.6055161946853255
75% Corpus,6,asymmetric,symmetric,0.5331255916107275
75% Corpus,7,0.01,0.01,0.492071043201422
75% Corpus,7,0.01,0.31,0.47540388284899404
75% Corpus,7,0.01,0.61,0.454900366894826
75% Corpus,7,0.01,0.9099999999999999,0.4680816075826061
75% Corpus,7,0.01,symmetric,0.4573420783630052
75% Corpus,7,0.31,0.01,0.47517962166431543
75% Corpus,7,0.31,0.31,0.44983751864658617
75% Corpus,7,0.31,0.61,0.43735221879418
75% Corpus,7,0.31,0.9099999999999999,0.4500572180264057
75% Corpus,7,0.31,symmetric,0.4854251653807485
75% Corpus,7,0.61,0.01,0.46420095510071574
75% Corpus,7,0.61,0.31,0.42804303376725616
75% Corpus,7,0.61,0.61,0.4249089603433
75% Corpus,7,0.61,0.9099999999999999,0.39223591158539456
75% Corpus,7,0.61,symmetric,0.46953891658496133
75% Corpus,7,0.9099999999999999,0.01,0.4963999616332219
75% Corpus,7,0.9099999999999999,0.31,0.4146044506133873
75% Corpus,7,0.9099999999999999,0.61,0.5304029802118546
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5892331027057237
75% Corpus,7,0.9099999999999999,symmetric,0.45774168103736645
75% Corpus,7,symmetric,0.01,0.49705816391372215
75% Corpus,7,symmetric,0.31,0.48011368971223384
