Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.38486700931582396
75% Corpus,4,0.01,0.31,0.4414381055813314
75% Corpus,4,0.01,0.61,0.4199308154487056
75% Corpus,4,0.01,0.9099999999999999,0.41500648360254444
75% Corpus,4,0.01,symmetric,0.3933661321276538
75% Corpus,4,0.31,0.01,0.3796870839372983
75% Corpus,4,0.31,0.31,0.37769496147390835
75% Corpus,4,0.31,0.61,0.3956260080626426
75% Corpus,4,0.31,0.9099999999999999,0.37240016755789174
75% Corpus,4,0.31,symmetric,0.38304013907867207
75% Corpus,4,0.61,0.01,0.37863714592033304
75% Corpus,4,0.61,0.31,0.38952248618815194
75% Corpus,4,0.61,0.61,0.38476284287310175
75% Corpus,4,0.61,0.9099999999999999,0.3583680220895879
75% Corpus,4,0.61,symmetric,0.3897677307844951
75% Corpus,4,0.9099999999999999,0.01,0.42274571205410344
75% Corpus,4,0.9099999999999999,0.31,0.3858844485332391
75% Corpus,4,0.9099999999999999,0.61,0.35954504760576306
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3642796649215405
75% Corpus,4,0.9099999999999999,symmetric,0.3858844485332391
75% Corpus,4,symmetric,0.01,0.37926897965654527
75% Corpus,4,symmetric,0.31,0.4036748975613265
75% Corpus,4,symmetric,0.61,0.38271440585943617
75% Corpus,4,symmetric,0.9099999999999999,0.4065896359737201
75% Corpus,4,symmetric,symmetric,0.39703597369843574
75% Corpus,4,asymmetric,0.01,0.36031477050305605
75% Corpus,4,asymmetric,0.31,0.4624035728186273
75% Corpus,4,asymmetric,0.61,0.4633714192644056
75% Corpus,4,asymmetric,0.9099999999999999,0.5800700399905945
75% Corpus,4,asymmetric,symmetric,0.43218677425748336
75% Corpus,5,0.01,0.01,0.40210283993467577
75% Corpus,5,0.01,0.31,0.40003786125678087
75% Corpus,5,0.01,0.61,0.380498685937929
75% Corpus,5,0.01,0.9099999999999999,0.3560541302240588
75% Corpus,5,0.01,symmetric,0.3910404115734634
75% Corpus,5,0.31,0.01,0.3750774817926808
75% Corpus,5,0.31,0.31,0.36147330838721065
75% Corpus,5,0.31,0.61,0.3560025707707907
75% Corpus,5,0.31,0.9099999999999999,0.34503929215366974
75% Corpus,5,0.31,symmetric,0.3625141931681269
75% Corpus,5,0.61,0.01,0.3960006491347408
75% Corpus,5,0.61,0.31,0.34641542606701636
75% Corpus,5,0.61,0.61,0.34587884478098496
75% Corpus,5,0.61,0.9099999999999999,0.3473685518602988
75% Corpus,5,0.61,symmetric,0.36286801538652885
75% Corpus,5,0.9099999999999999,0.01,0.4729041058828535
75% Corpus,5,0.9099999999999999,0.31,0.3290512575859312
75% Corpus,5,0.9099999999999999,0.61,0.34854503869346365
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.45954097476156763
75% Corpus,5,0.9099999999999999,symmetric,0.40135705933057475
75% Corpus,5,symmetric,0.01,0.3822732410783693
75% Corpus,5,symmetric,0.31,0.3830600976503228
75% Corpus,5,symmetric,0.61,0.36524138706987685
75% Corpus,5,symmetric,0.9099999999999999,0.37293142093649795
75% Corpus,5,symmetric,symmetric,0.3721970594850571
75% Corpus,5,asymmetric,0.01,0.38913746512749714
75% Corpus,5,asymmetric,0.31,0.5054283372482511
75% Corpus,5,asymmetric,0.61,0.5132975081481126
75% Corpus,5,asymmetric,0.9099999999999999,0.5340745204131845
75% Corpus,5,asymmetric,symmetric,0.5270362545909386
75% Corpus,6,0.01,0.01,0.3640534968889475
75% Corpus,6,0.01,0.31,0.3814149195535977
75% Corpus,6,0.01,0.61,0.37972977919225875
75% Corpus,6,0.01,0.9099999999999999,0.36717442002778494
75% Corpus,6,0.01,symmetric,0.38069531701297726
75% Corpus,6,0.31,0.01,0.38014125700665363
75% Corpus,6,0.31,0.31,0.37057776246709123
75% Corpus,6,0.31,0.61,0.3671542596004398
75% Corpus,6,0.31,0.9099999999999999,0.3653193534949824
75% Corpus,6,0.31,symmetric,0.36793281741231226
75% Corpus,6,0.61,0.01,0.4103864470970811
75% Corpus,6,0.61,0.31,0.3419818071797076
75% Corpus,6,0.61,0.61,0.3318110752686612
75% Corpus,6,0.61,0.9099999999999999,0.3477211729022636
75% Corpus,6,0.61,symmetric,0.38274104145828125
75% Corpus,6,0.9099999999999999,0.01,0.448582369991529
75% Corpus,6,0.9099999999999999,0.31,0.3319615131134823
75% Corpus,6,0.9099999999999999,0.61,0.361360729904517
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5198707733461514
75% Corpus,6,0.9099999999999999,symmetric,0.3840291579261123
75% Corpus,6,symmetric,0.01,0.380728769277822
75% Corpus,6,symmetric,0.31,0.3789816115824029
75% Corpus,6,symmetric,0.61,0.34375030557110925
75% Corpus,6,symmetric,0.9099999999999999,0.3491718065117108
75% Corpus,6,symmetric,symmetric,0.38210211208724393
75% Corpus,6,asymmetric,0.01,0.43669330368253334
75% Corpus,6,asymmetric,0.31,0.4571096474326333
75% Corpus,6,asymmetric,0.61,0.5136796698085839
75% Corpus,6,asymmetric,0.9099999999999999,0.5512610629282427
75% Corpus,6,asymmetric,symmetric,0.4419892455538476
75% Corpus,7,0.01,0.01,0.3803272183387215
75% Corpus,7,0.01,0.31,0.3725159439673598
75% Corpus,7,0.01,0.61,0.3419642959278485
75% Corpus,7,0.01,0.9099999999999999,0.344280277597766
75% Corpus,7,0.01,symmetric,0.35838821949710536
75% Corpus,7,0.31,0.01,0.3767789768949977
75% Corpus,7,0.31,0.31,0.37407675281067415
75% Corpus,7,0.31,0.61,0.35481339725359984
75% Corpus,7,0.31,0.9099999999999999,0.37028462976342374
75% Corpus,7,0.31,symmetric,0.36608295435339594
75% Corpus,7,0.61,0.01,0.41651841331650635
75% Corpus,7,0.61,0.31,0.3661185669705068
75% Corpus,7,0.61,0.61,0.3626454725438643
75% Corpus,7,0.61,0.9099999999999999,0.4008018601650355
75% Corpus,7,0.61,symmetric,0.38206442519424416
75% Corpus,7,0.9099999999999999,0.01,0.4566070779811294
75% Corpus,7,0.9099999999999999,0.31,0.3819446953931492
75% Corpus,7,0.9099999999999999,0.61,0.4292254726633134
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5824525847714714
75% Corpus,7,0.9099999999999999,symmetric,0.38818817656599786
75% Corpus,7,symmetric,0.01,0.38396179601698044
75% Corpus,7,symmetric,0.31,0.35008303251061373
75% Corpus,7,symmetric,0.61,0.34108519358555267
75% Corpus,7,symmetric,0.9099999999999999,0.34419351948711224
75% Corpus,7,symmetric,symmetric,0.396051851722313
75% Corpus,7,asymmetric,0.01,0.43689242384052523
75% Corpus,7,asymmetric,0.31,0.48912416910636874
75% Corpus,7,asymmetric,0.61,0.5271859061588817
75% Corpus,7,asymmetric,0.9099999999999999,0.5303157685850455
75% Corpus,7,asymmetric,symmetric,0.4504979253957728
75% Corpus,8,0.01,0.01,0.36470088881277435
75% Corpus,8,0.01,0.31,0.3444188881936133
75% Corpus,8,0.01,0.61,0.37023346520422423
75% Corpus,8,0.01,0.9099999999999999,0.37199665773071694
75% Corpus,8,0.01,symmetric,0.34935998891621
75% Corpus,8,0.31,0.01,0.3860912763977957
75% Corpus,8,0.31,0.31,0.38074864445154777
75% Corpus,8,0.31,0.61,0.3745972638046109
75% Corpus,8,0.31,0.9099999999999999,0.3487070212389978
75% Corpus,8,0.31,symmetric,0.374378473005349
75% Corpus,8,0.61,0.01,0.4087809560891602
75% Corpus,8,0.61,0.31,0.37365208482294543
75% Corpus,8,0.61,0.61,0.3418087624920076
75% Corpus,8,0.61,0.9099999999999999,0.45150193931075777
75% Corpus,8,0.61,symmetric,0.40077553506877384
75% Corpus,8,0.9099999999999999,0.01,0.4966470862439859
75% Corpus,8,0.9099999999999999,0.31,0.368461607325567
75% Corpus,8,0.9099999999999999,0.61,0.46963627749059556
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.6117699043569041
75% Corpus,8,0.9099999999999999,symmetric,0.39784931106977817
75% Corpus,8,symmetric,0.01,0.39968720168836824
75% Corpus,8,symmetric,0.31,0.3877181569858907
75% Corpus,8,symmetric,0.61,0.342457121574253
75% Corpus,8,symmetric,0.9099999999999999,0.3578809552669321
75% Corpus,8,symmetric,symmetric,0.3880644864989745
75% Corpus,8,asymmetric,0.01,0.43149100114010785
75% Corpus,8,asymmetric,0.31,0.5506314180948622
75% Corpus,8,asymmetric,0.61,0.5977651150590348
75% Corpus,8,asymmetric,0.9099999999999999,0.5592500544858461
75% Corpus,8,asymmetric,symmetric,0.4760882234548212
75% Corpus,9,0.01,0.01,0.40428873901872087
75% Corpus,9,0.01,0.31,0.4269867667757388
75% Corpus,9,0.01,0.61,0.4296695816419705
75% Corpus,9,0.01,0.9099999999999999,0.4183098308046398
75% Corpus,9,0.01,symmetric,0.3963892406649333
75% Corpus,9,0.31,0.01,0.39941297210513765
75% Corpus,9,0.31,0.31,0.3990366702241729
75% Corpus,9,0.31,0.61,0.4035731210622656
75% Corpus,9,0.31,0.9099999999999999,0.39514517630009355
75% Corpus,9,0.31,symmetric,0.38865085256831344
75% Corpus,9,0.61,0.01,0.46586818457236107
75% Corpus,9,0.61,0.31,0.38823169002331537
75% Corpus,9,0.61,0.61,0.39442293058604544
75% Corpus,9,0.61,0.9099999999999999,0.48479412801130156
75% Corpus,9,0.61,symmetric,0.41071021656594997
75% Corpus,9,0.9099999999999999,0.01,0.5230518471434312
75% Corpus,9,0.9099999999999999,0.31,0.38894459765475736
75% Corpus,9,0.9099999999999999,0.61,0.5551802242483274
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.6125735646316434
75% Corpus,9,0.9099999999999999,symmetric,0.4464501284008631
75% Corpus,9,symmetric,0.01,0.41643491416582484
75% Corpus,9,symmetric,0.31,0.4058940120432799
75% Corpus,9,symmetric,0.61,0.40894635423712045
75% Corpus,9,symmetric,0.9099999999999999,0.43815223455450825
75% Corpus,9,symmetric,symmetric,0.4199148006859944
75% Corpus,9,asymmetric,0.01,0.47048031153876063
75% Corpus,9,asymmetric,0.31,0.49973301128172587
75% Corpus,9,asymmetric,0.61,0.5523946490534128
75% Corpus,9,asymmetric,0.9099999999999999,0.5718401029528893
75% Corpus,9,asymmetric,symmetric,0.4641131908830928
75% Corpus,10,0.01,0.01,0.4337331603917326
75% Corpus,10,0.01,0.31,0.44332152278952475
75% Corpus,10,0.01,0.61,0.4392047068766787
75% Corpus,10,0.01,0.9099999999999999,0.46607009087426876
75% Corpus,10,0.01,symmetric,0.45166741987036724
75% Corpus,10,0.31,0.01,0.3987297206799455
75% Corpus,10,0.31,0.31,0.4235878736727911
75% Corpus,10,0.31,0.61,0.44518768178595536
75% Corpus,10,0.31,0.9099999999999999,0.43976943101035315
75% Corpus,10,0.31,symmetric,0.41932881468768146
75% Corpus,10,0.61,0.01,0.4811657284361298
75% Corpus,10,0.61,0.31,0.4195726336710638
75% Corpus,10,0.61,0.61,0.45777817831356205
75% Corpus,10,0.61,0.9099999999999999,0.4392633025465723
75% Corpus,10,0.61,symmetric,0.41320529738070944
75% Corpus,10,0.9099999999999999,0.01,0.5234894696373016
75% Corpus,10,0.9099999999999999,0.31,0.429645748783579
75% Corpus,10,0.9099999999999999,0.61,0.5850309321025577
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.6129435417606555
75% Corpus,10,0.9099999999999999,symmetric,0.45541730311386724
75% Corpus,10,symmetric,0.01,0.4604504024991852
75% Corpus,10,symmetric,0.31,0.4597962575789339
75% Corpus,10,symmetric,0.61,0.4622391888573998
75% Corpus,10,symmetric,0.9099999999999999,0.4518592703082268
75% Corpus,10,symmetric,symmetric,0.4576387747652242
75% Corpus,10,asymmetric,0.01,0.4781066679642719
75% Corpus,10,asymmetric,0.31,0.5193284063761897
75% Corpus,10,asymmetric,0.61,0.5279010179430018
75% Corpus,10,asymmetric,0.9099999999999999,0.5438414448076443
75% Corpus,10,asymmetric,symmetric,0.4772831445081446
75% Corpus,11,0.01,0.01,0.4159325729148346
75% Corpus,11,0.01,0.31,0.39141417439414106
75% Corpus,11,0.01,0.61,0.4184265364375148
75% Corpus,11,0.01,0.9099999999999999,0.42783739810959937
75% Corpus,11,0.01,symmetric,0.41024067003556014
75% Corpus,11,0.31,0.01,0.39042083046000914
75% Corpus,11,0.31,0.31,0.4230312970419377
75% Corpus,11,0.31,0.61,0.4317025850858474
75% Corpus,11,0.31,0.9099999999999999,0.41789649119350175
75% Corpus,11,0.31,symmetric,0.3942693359420502
75% Corpus,11,0.61,0.01,0.48925615368266084
75% Corpus,11,0.61,0.31,0.4230447857238176
75% Corpus,11,0.61,0.61,0.4526285362280781
75% Corpus,11,0.61,0.9099999999999999,0.5631823394020876
75% Corpus,11,0.61,symmetric,0.4216759818377765
75% Corpus,11,0.9099999999999999,0.01,0.5438123005085731
75% Corpus,11,0.9099999999999999,0.31,0.4536677778708183
75% Corpus,11,0.9099999999999999,0.61,0.6143764890086677
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.6104838381310432
75% Corpus,11,0.9099999999999999,symmetric,0.46804413537165
75% Corpus,11,symmetric,0.01,0.41818547398773426
75% Corpus,11,symmetric,0.31,0.4333260183467351
75% Corpus,11,symmetric,0.61,0.406271602417988
75% Corpus,11,symmetric,0.9099999999999999,0.4019453350918034
75% Corpus,11,symmetric,symmetric,0.4098054107175789
75% Corpus,11,asymmetric,0.01,0.48009375483099603
75% Corpus,11,asymmetric,0.31,0.5011578481871176
75% Corpus,11,asymmetric,0.61,0.522677928265248
75% Corpus,11,asymmetric,0.9099999999999999,0.5137515961062197
75% Corpus,11,asymmetric,symmetric,0.482866812977152
75% Corpus,12,0.01,0.01,0.4401965166950605
75% Corpus,12,0.01,0.31,0.42829673667437396
75% Corpus,12,0.01,0.61,0.4367537342538726
75% Corpus,12,0.01,0.9099999999999999,0.4214035266722173
75% Corpus,12,0.01,symmetric,0.44196769412533676
75% Corpus,12,0.31,0.01,0.4610310313375215
75% Corpus,12,0.31,0.31,0.48206455198735193
75% Corpus,12,0.31,0.61,0.48522157197945376
75% Corpus,12,0.31,0.9099999999999999,0.4988563086694408
75% Corpus,12,0.31,symmetric,0.46190942218152836
75% Corpus,12,0.61,0.01,0.5081696488629032
75% Corpus,12,0.61,0.31,0.45829788005205124
75% Corpus,12,0.61,0.61,0.457333474031762
75% Corpus,12,0.61,0.9099999999999999,0.6121383766011317
75% Corpus,12,0.61,symmetric,0.4472595279638967
75% Corpus,12,0.9099999999999999,0.01,0.5518050131789547
75% Corpus,12,0.9099999999999999,0.31,0.5016855326368185
75% Corpus,12,0.9099999999999999,0.61,0.6132159119204871
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.6122858259196153
75% Corpus,12,0.9099999999999999,symmetric,0.4877319343137068
75% Corpus,12,symmetric,0.01,0.47312919488930155
75% Corpus,12,symmetric,0.31,0.4567378209352651
75% Corpus,12,symmetric,0.61,0.4518236811494871
75% Corpus,12,symmetric,0.9099999999999999,0.4392046388166271
75% Corpus,12,symmetric,symmetric,0.45551627510806353
75% Corpus,12,asymmetric,0.01,0.4696136326785458
75% Corpus,12,asymmetric,0.31,0.5019554237216122
75% Corpus,12,asymmetric,0.61,0.5242977479913928
75% Corpus,12,asymmetric,0.9099999999999999,0.516612284522579
75% Corpus,12,asymmetric,symmetric,0.4550917649331429
75% Corpus,13,0.01,0.01,0.4504415055384926
75% Corpus,13,0.01,0.31,0.4320354046962266
75% Corpus,13,0.01,0.61,0.42242096737251866
75% Corpus,13,0.01,0.9099999999999999,0.41587853279025067
75% Corpus,13,0.01,symmetric,0.440201375533669
75% Corpus,13,0.31,0.01,0.4783739095997618
75% Corpus,13,0.31,0.31,0.49041131977232805
75% Corpus,13,0.31,0.61,0.48155113394577576
75% Corpus,13,0.31,0.9099999999999999,0.5009624100203597
75% Corpus,13,0.31,symmetric,0.47764004815766004
75% Corpus,13,0.61,0.01,0.5197066123144283
75% Corpus,13,0.61,0.31,0.471722777052474
75% Corpus,13,0.61,0.61,0.4614291661810527
75% Corpus,13,0.61,0.9099999999999999,0.6126644701547814
75% Corpus,13,0.61,symmetric,0.45564963313838164
75% Corpus,13,0.9099999999999999,0.01,0.5811398177010481
75% Corpus,13,0.9099999999999999,0.31,0.47797080237426304
75% Corpus,13,0.9099999999999999,0.61,0.6121682738889952
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.6119046597246802
75% Corpus,13,0.9099999999999999,symmetric,0.5147811010612718
75% Corpus,13,symmetric,0.01,0.4519097579416594
75% Corpus,13,symmetric,0.31,0.48762332234982286
75% Corpus,13,symmetric,0.61,0.4561891132897824
75% Corpus,13,symmetric,0.9099999999999999,0.4503262799334232
75% Corpus,13,symmetric,symmetric,0.4497933208202748
75% Corpus,13,asymmetric,0.01,0.4879980836943015
75% Corpus,13,asymmetric,0.31,0.5063463405407427
75% Corpus,13,asymmetric,0.61,0.5023757507925848
75% Corpus,13,asymmetric,0.9099999999999999,0.5067515073119975
75% Corpus,13,asymmetric,symmetric,0.47721779748153453
