Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.5864178185006554
75% Corpus,4,0.01,0.31,0.4961190545733165
75% Corpus,4,0.01,0.61,0.43896793221960706
75% Corpus,4,0.01,0.9099999999999999,0.39679794916739275
75% Corpus,4,0.01,symmetric,0.5169181878352205
75% Corpus,4,0.31,0.01,0.5918539661553313
75% Corpus,4,0.31,0.31,0.5155988249934439
75% Corpus,4,0.31,0.61,0.4975172664310649
75% Corpus,4,0.31,0.9099999999999999,0.4020910919793707
75% Corpus,4,0.31,symmetric,0.5295514140365958
75% Corpus,4,0.61,0.01,0.5948613127028473
75% Corpus,4,0.61,0.31,0.5395486232703843
75% Corpus,4,0.61,0.61,0.5110081333814492
75% Corpus,4,0.61,0.9099999999999999,0.49526780280922067
75% Corpus,4,0.61,symmetric,0.5525396083709093
75% Corpus,4,0.9099999999999999,0.01,0.5890654130426086
75% Corpus,4,0.9099999999999999,0.31,0.5231675015097113
75% Corpus,4,0.9099999999999999,0.61,0.5047055678426217
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.48283794116315043
75% Corpus,4,0.9099999999999999,symmetric,0.5337502113974184
75% Corpus,4,symmetric,0.01,0.5932248479983113
75% Corpus,4,symmetric,0.31,0.5563249613771548
75% Corpus,4,symmetric,0.61,0.46363968934658295
75% Corpus,4,symmetric,0.9099999999999999,0.38182958693154084
75% Corpus,4,symmetric,symmetric,0.5631426292967597
75% Corpus,4,asymmetric,0.01,0.5695730878739086
75% Corpus,4,asymmetric,0.31,0.5327533964862938
75% Corpus,4,asymmetric,0.61,0.46200710702096737
75% Corpus,4,asymmetric,0.9099999999999999,0.4230525685677754
75% Corpus,4,asymmetric,symmetric,0.5210316428018471
75% Corpus,5,0.01,0.01,0.6019848531646534
75% Corpus,5,0.01,0.31,0.4805871596851713
75% Corpus,5,0.01,0.61,0.44880227825724717
75% Corpus,5,0.01,0.9099999999999999,0.36932443258673947
75% Corpus,5,0.01,symmetric,0.5673230507604632
75% Corpus,5,0.31,0.01,0.6136910268729105
75% Corpus,5,0.31,0.31,0.5237029609894177
75% Corpus,5,0.31,0.61,0.4565448820451107
75% Corpus,5,0.31,0.9099999999999999,0.42173852129094075
75% Corpus,5,0.31,symmetric,0.5697039275226918
75% Corpus,5,0.61,0.01,0.6069934936252611
75% Corpus,5,0.61,0.31,0.5256640302202624
75% Corpus,5,0.61,0.61,0.435894693870743
75% Corpus,5,0.61,0.9099999999999999,0.4385063265778671
75% Corpus,5,0.61,symmetric,0.5390220782395065
75% Corpus,5,0.9099999999999999,0.01,0.5879334850824728
75% Corpus,5,0.9099999999999999,0.31,0.5109242209353015
75% Corpus,5,0.9099999999999999,0.61,0.4451435750618284
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.43116760562181955
75% Corpus,5,0.9099999999999999,symmetric,0.5325627826192959
75% Corpus,5,symmetric,0.01,0.5838670623550424
75% Corpus,5,symmetric,0.31,0.526115763604185
75% Corpus,5,symmetric,0.61,0.4714123544734606
75% Corpus,5,symmetric,0.9099999999999999,0.45457624242311245
75% Corpus,5,symmetric,symmetric,0.5289173780445993
75% Corpus,5,asymmetric,0.01,0.546859777393426
