Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.42855945153190017
75% Corpus,4,0.01,0.31,0.44082576734521406
75% Corpus,4,0.01,0.61,0.4101923122629064
75% Corpus,4,0.01,0.9099999999999999,0.39908025023553956
75% Corpus,4,0.01,symmetric,0.4228815485179598
75% Corpus,4,0.31,0.01,0.4159248155508426
75% Corpus,4,0.31,0.31,0.43037003904974935
75% Corpus,4,0.31,0.61,0.38916284463535716
75% Corpus,4,0.31,0.9099999999999999,0.38916284463535716
75% Corpus,4,0.31,symmetric,0.45470272283291424
75% Corpus,4,0.61,0.01,0.4219753621522293
75% Corpus,4,0.61,0.31,0.42662664203182077
75% Corpus,4,0.61,0.61,0.3975185002709481
75% Corpus,4,0.61,0.9099999999999999,0.3462675393048643
75% Corpus,4,0.61,symmetric,0.4071540502776628
75% Corpus,4,0.9099999999999999,0.01,0.4872450211319786
75% Corpus,4,0.9099999999999999,0.31,0.4904908586770704
75% Corpus,4,0.9099999999999999,0.61,0.36171164626894325
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.39567873295730344
75% Corpus,4,0.9099999999999999,symmetric,0.4808658016133034
75% Corpus,4,symmetric,0.01,0.4427460879963939
75% Corpus,4,symmetric,0.31,0.4020769132373704
75% Corpus,4,symmetric,0.61,0.3771895718513437
75% Corpus,4,symmetric,0.9099999999999999,0.375144840440109
75% Corpus,4,symmetric,symmetric,0.4118059224588286
75% Corpus,4,asymmetric,0.01,0.3540999395408417
75% Corpus,4,asymmetric,0.31,0.4212008242220021
75% Corpus,4,asymmetric,0.61,0.42119119808021777
75% Corpus,4,asymmetric,0.9099999999999999,0.40515477195031546
75% Corpus,4,asymmetric,symmetric,0.4212008242220021
75% Corpus,5,0.01,0.01,0.3400390645819429
75% Corpus,5,0.01,0.31,0.3469996067344988
75% Corpus,5,0.01,0.61,0.3614126477636564
75% Corpus,5,0.01,0.9099999999999999,0.4024612019310285
75% Corpus,5,0.01,symmetric,0.35385802441103265
75% Corpus,5,0.31,0.01,0.4118418587394107
75% Corpus,5,0.31,0.31,0.3824168710257687
75% Corpus,5,0.31,0.61,0.3612515832600871
75% Corpus,5,0.31,0.9099999999999999,0.3531604883179176
75% Corpus,5,0.31,symmetric,0.3918017780994024
75% Corpus,5,0.61,0.01,0.4068213967069134
75% Corpus,5,0.61,0.31,0.37406473901442416
75% Corpus,5,0.61,0.61,0.3551432123058077
75% Corpus,5,0.61,0.9099999999999999,0.35225561035012715
75% Corpus,5,0.61,symmetric,0.38390222850090255
75% Corpus,5,0.9099999999999999,0.01,0.4315169785503599
75% Corpus,5,0.9099999999999999,0.31,0.4481146844749119
75% Corpus,5,0.9099999999999999,0.61,0.37934596368952855
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.389747463040884
75% Corpus,5,0.9099999999999999,symmetric,0.3924554529922951
75% Corpus,5,symmetric,0.01,0.3936816406398202
75% Corpus,5,symmetric,0.31,0.340744953414279
75% Corpus,5,symmetric,0.61,0.3357674066567794
75% Corpus,5,symmetric,0.9099999999999999,0.3457621723024289
75% Corpus,5,symmetric,symmetric,0.36104637387019145
75% Corpus,5,asymmetric,0.01,0.38474123538264393
75% Corpus,5,asymmetric,0.31,0.3855646089641326
75% Corpus,5,asymmetric,0.61,0.42483437732488777
75% Corpus,5,asymmetric,0.9099999999999999,0.5115193557493773
75% Corpus,5,asymmetric,symmetric,0.45444133516670016
75% Corpus,6,0.01,0.01,0.34236899717657115
75% Corpus,6,0.01,0.31,0.3491960777439361
75% Corpus,6,0.01,0.61,0.3530859832929953
75% Corpus,6,0.01,0.9099999999999999,0.35685337648841475
