Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.6133168584494002
75% Corpus,4,0.01,0.31,0.44445264877232615
75% Corpus,4,0.01,0.61,0.36841312749370625
75% Corpus,4,0.01,0.9099999999999999,0.43785402100973164
75% Corpus,4,0.01,symmetric,0.410610397673084
75% Corpus,4,0.31,0.01,0.6408725969432074
75% Corpus,4,0.31,0.31,0.44844722614352106
75% Corpus,4,0.31,0.61,0.40497533083984427
75% Corpus,4,0.31,0.9099999999999999,0.4009913041208869
75% Corpus,4,0.31,symmetric,0.4690917298021636
75% Corpus,4,0.61,0.01,0.6196931866589213
75% Corpus,4,0.61,0.31,0.44799430204351576
75% Corpus,4,0.61,0.61,0.40286533093350463
75% Corpus,4,0.61,0.9099999999999999,0.3945266619608861
75% Corpus,4,0.61,symmetric,0.46074722908742144
75% Corpus,4,0.9099999999999999,0.01,0.6290623291480797
75% Corpus,4,0.9099999999999999,0.31,0.429661862415245
75% Corpus,4,0.9099999999999999,0.61,0.39336313103286125
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.41510214923767574
75% Corpus,4,0.9099999999999999,symmetric,0.43790278981880515
75% Corpus,4,symmetric,0.01,0.6125054587219694
75% Corpus,4,symmetric,0.31,0.4606236415375061
75% Corpus,4,symmetric,0.61,0.39119419035204706
75% Corpus,4,symmetric,0.9099999999999999,0.41380414272705573
75% Corpus,4,symmetric,symmetric,0.48949820406345557
75% Corpus,4,asymmetric,0.01,0.5292974674577982
75% Corpus,4,asymmetric,0.31,0.4244564517918785
75% Corpus,4,asymmetric,0.61,0.4221731024850567
75% Corpus,4,asymmetric,0.9099999999999999,0.3809772422426219
75% Corpus,4,asymmetric,symmetric,0.44047863462595555
75% Corpus,5,0.01,0.01,0.613380347771321
75% Corpus,5,0.01,0.31,0.41951869137525477
75% Corpus,5,0.01,0.61,0.42891509181322646
75% Corpus,5,0.01,0.9099999999999999,0.36546317144062634
75% Corpus,5,0.01,symmetric,0.4439974697952448
75% Corpus,5,0.31,0.01,0.6426666068553489
75% Corpus,5,0.31,0.31,0.452784279241299
75% Corpus,5,0.31,0.61,0.3859750794902844
75% Corpus,5,0.31,0.9099999999999999,0.34563093962963876
75% Corpus,5,0.31,symmetric,0.4791505475600954
75% Corpus,5,0.61,0.01,0.6344124305288366
75% Corpus,5,0.61,0.31,0.4010128302750246
75% Corpus,5,0.61,0.61,0.3562794485108112
75% Corpus,5,0.61,0.9099999999999999,0.33117482774371093
75% Corpus,5,0.61,symmetric,0.39514297532451137
75% Corpus,5,0.9099999999999999,0.01,0.6343847937986945
75% Corpus,5,0.9099999999999999,0.31,0.35496425164353046
75% Corpus,5,0.9099999999999999,0.61,0.37657479704078084
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.442233794188577
75% Corpus,5,0.9099999999999999,symmetric,0.34946943630131516
75% Corpus,5,symmetric,0.01,0.625322435557014
75% Corpus,5,symmetric,0.31,0.42036199158336707
75% Corpus,5,symmetric,0.61,0.4019435272488174
75% Corpus,5,symmetric,0.9099999999999999,0.4230797781404954
75% Corpus,5,symmetric,symmetric,0.4908341407343273
75% Corpus,5,asymmetric,0.01,0.5271645112386605
75% Corpus,5,asymmetric,0.31,0.42858888391552596
75% Corpus,5,asymmetric,0.61,0.3620708110202835
75% Corpus,5,asymmetric,0.9099999999999999,0.3988153808120789
75% Corpus,5,asymmetric,symmetric,0.412286051169518
75% Corpus,6,0.01,0.01,0.5842708723619005
75% Corpus,6,0.01,0.31,0.3293243059091656
75% Corpus,6,0.01,0.61,0.3665053569713282
75% Corpus,6,0.01,0.9099999999999999,0.3282687762866027
75% Corpus,6,0.01,symmetric,0.44816552495302936
75% Corpus,6,0.31,0.01,0.5760130177863043
75% Corpus,6,0.31,0.31,0.4407911612910249
75% Corpus,6,0.31,0.61,0.39028640873733994
75% Corpus,6,0.31,0.9099999999999999,0.38590143701232266
75% Corpus,6,0.31,symmetric,0.42235738934729006
75% Corpus,6,0.61,0.01,0.6330868616353377
75% Corpus,6,0.61,0.31,0.41739011548968735
75% Corpus,6,0.61,0.61,0.37819489260271394
75% Corpus,6,0.61,0.9099999999999999,0.32225848610962354
75% Corpus,6,0.61,symmetric,0.43901351686172196
75% Corpus,6,0.9099999999999999,0.01,0.6352555483427965
75% Corpus,6,0.9099999999999999,0.31,0.35511982747876264
75% Corpus,6,0.9099999999999999,0.61,0.3892886299855051
