Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.4116066091886395
75% Corpus,4,0.01,0.31,0.40114316111980175
75% Corpus,4,0.01,0.61,0.439792498105659
75% Corpus,4,0.01,0.9099999999999999,0.44733199479996444
75% Corpus,4,0.01,symmetric,0.42209676394337137
75% Corpus,4,0.31,0.01,0.4042220061850923
75% Corpus,4,0.31,0.31,0.3831865512128292
75% Corpus,4,0.31,0.61,0.39359439291494813
75% Corpus,4,0.31,0.9099999999999999,0.390343263378492
75% Corpus,4,0.31,symmetric,0.3831865512128292
75% Corpus,4,0.61,0.01,0.43096560354221225
75% Corpus,4,0.61,0.31,0.3831201883103921
75% Corpus,4,0.61,0.61,0.4026455278108159
75% Corpus,4,0.61,0.9099999999999999,0.4012843737647846
75% Corpus,4,0.61,symmetric,0.37602604897980174
75% Corpus,4,0.9099999999999999,0.01,0.4441357935037062
75% Corpus,4,0.9099999999999999,0.31,0.406288891963826
75% Corpus,4,0.9099999999999999,0.61,0.40440672877623235
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3947736805841602
75% Corpus,4,0.9099999999999999,symmetric,0.42804134841747177
75% Corpus,4,symmetric,0.01,0.3797642499061891
75% Corpus,4,symmetric,0.31,0.38429637130943756
75% Corpus,4,symmetric,0.61,0.366330697871104
75% Corpus,4,symmetric,0.9099999999999999,0.38569523510603587
75% Corpus,4,symmetric,symmetric,0.3732009726060498
75% Corpus,4,asymmetric,0.01,0.4691206797450944
75% Corpus,4,asymmetric,0.31,0.5342424264425589
75% Corpus,4,asymmetric,0.61,0.5738588077429044
75% Corpus,4,asymmetric,0.9099999999999999,0.5678522951155576
75% Corpus,4,asymmetric,symmetric,0.5089146894570792
75% Corpus,5,0.01,0.01,0.40533243019323084
75% Corpus,5,0.01,0.31,0.44615156184051213
75% Corpus,5,0.01,0.61,0.4409951528298494
75% Corpus,5,0.01,0.9099999999999999,0.39956693492485273
75% Corpus,5,0.01,symmetric,0.3998345438852551
75% Corpus,5,0.31,0.01,0.44303578727784876
75% Corpus,5,0.31,0.31,0.40504437394935067
75% Corpus,5,0.31,0.61,0.3881826332145099
75% Corpus,5,0.31,0.9099999999999999,0.3926452751380687
75% Corpus,5,0.31,symmetric,0.4011865121081487
75% Corpus,5,0.61,0.01,0.399639434672556
75% Corpus,5,0.61,0.31,0.376233998565607
75% Corpus,5,0.61,0.61,0.3409739696419029
75% Corpus,5,0.61,0.9099999999999999,0.34082663826117415
75% Corpus,5,0.61,symmetric,0.3762339985656071
75% Corpus,5,0.9099999999999999,0.01,0.42376118259146844
75% Corpus,5,0.9099999999999999,0.31,0.3696210652591566
75% Corpus,5,0.9099999999999999,0.61,0.34603687363057
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.43451999271688696
75% Corpus,5,0.9099999999999999,symmetric,0.37384746224758886
75% Corpus,5,symmetric,0.01,0.403163641953724
75% Corpus,5,symmetric,0.31,0.38293169715198516
75% Corpus,5,symmetric,0.61,0.4049104741641495
75% Corpus,5,symmetric,0.9099999999999999,0.3971990670141675
75% Corpus,5,symmetric,symmetric,0.39791538423572453
75% Corpus,5,asymmetric,0.01,0.46437418812464965
75% Corpus,5,asymmetric,0.31,0.5260299753230063
75% Corpus,5,asymmetric,0.61,0.574365017613835
75% Corpus,5,asymmetric,0.9099999999999999,0.5485459797496185
75% Corpus,5,asymmetric,symmetric,0.49010390782016017
75% Corpus,6,0.01,0.01,0.34340675421452516
75% Corpus,6,0.01,0.31,0.37947341276869473
75% Corpus,6,0.01,0.61,0.38402018563808515
75% Corpus,6,0.01,0.9099999999999999,0.36798729874805963
75% Corpus,6,0.01,symmetric,0.35904075524338025
75% Corpus,6,0.31,0.01,0.40258631851660276
75% Corpus,6,0.31,0.31,0.37358238539201266
75% Corpus,6,0.31,0.61,0.3493201716373507
75% Corpus,6,0.31,0.9099999999999999,0.32846289373058024
75% Corpus,6,0.31,symmetric,0.38445946118187563
75% Corpus,6,0.61,0.01,0.4321879343817256
75% Corpus,6,0.61,0.31,0.37004969502793866
75% Corpus,6,0.61,0.61,0.3451973291111498
75% Corpus,6,0.61,0.9099999999999999,0.3334716072163147
75% Corpus,6,0.61,symmetric,0.38101235589429977
75% Corpus,6,0.9099999999999999,0.01,0.47337849009600075
75% Corpus,6,0.9099999999999999,0.31,0.359145833075977
75% Corpus,6,0.9099999999999999,0.61,0.38879739575843614
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5397399739565056
75% Corpus,6,0.9099999999999999,symmetric,0.39132819401956115
75% Corpus,6,symmetric,0.01,0.3802482692806574
75% Corpus,6,symmetric,0.31,0.35876858056195055
75% Corpus,6,symmetric,0.61,0.338890525380477
75% Corpus,6,symmetric,0.9099999999999999,0.3511767101211638
75% Corpus,6,symmetric,symmetric,0.3659093786248783
75% Corpus,6,asymmetric,0.01,0.4688695756984566
75% Corpus,6,asymmetric,0.31,0.5088481173720556
75% Corpus,6,asymmetric,0.61,0.5365536260009177
75% Corpus,6,asymmetric,0.9099999999999999,0.5198943714298029
75% Corpus,6,asymmetric,symmetric,0.4994455242256146
75% Corpus,7,0.01,0.01,0.35318285706996605
75% Corpus,7,0.01,0.31,0.343164285154567
75% Corpus,7,0.01,0.61,0.32031988155231117
75% Corpus,7,0.01,0.9099999999999999,0.3271198187494764
75% Corpus,7,0.01,symmetric,0.36443183734576967
75% Corpus,7,0.31,0.01,0.3940554476207966
75% Corpus,7,0.31,0.31,0.36943829886013296
75% Corpus,7,0.31,0.61,0.3573958363929748
75% Corpus,7,0.31,0.9099999999999999,0.34833161724694855
75% Corpus,7,0.31,symmetric,0.3750866848636209
75% Corpus,7,0.61,0.01,0.4193084741985916
75% Corpus,7,0.61,0.31,0.358804191019559
75% Corpus,7,0.61,0.61,0.35850083143728334
75% Corpus,7,0.61,0.9099999999999999,0.3626137652763474
75% Corpus,7,0.61,symmetric,0.3893765169928654
75% Corpus,7,0.9099999999999999,0.01,0.47020194056304476
75% Corpus,7,0.9099999999999999,0.31,0.34393605312524933
75% Corpus,7,0.9099999999999999,0.61,0.49179360493337815
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5981243425445824
75% Corpus,7,0.9099999999999999,symmetric,0.3767964262729622
75% Corpus,7,symmetric,0.01,0.36566853828704254
75% Corpus,7,symmetric,0.31,0.37327844996877646
75% Corpus,7,symmetric,0.61,0.3371824620188139
75% Corpus,7,symmetric,0.9099999999999999,0.3018058522125685
75% Corpus,7,symmetric,symmetric,0.36261619569838205
75% Corpus,7,asymmetric,0.01,0.46336065755373523
75% Corpus,7,asymmetric,0.31,0.5479532671935841
75% Corpus,7,asymmetric,0.61,0.5591023104938012
75% Corpus,7,asymmetric,0.9099999999999999,0.5947558830705821
75% Corpus,7,asymmetric,symmetric,0.480482556480435
75% Corpus,8,0.01,0.01,0.40955058543557155
75% Corpus,8,0.01,0.31,0.4245977278185123
75% Corpus,8,0.01,0.61,0.3719070308941299
75% Corpus,8,0.01,0.9099999999999999,0.33994401945964114
75% Corpus,8,0.01,symmetric,0.4030791174621069
75% Corpus,8,0.31,0.01,0.38958269010331376
75% Corpus,8,0.31,0.31,0.3734996807837781
75% Corpus,8,0.31,0.61,0.3485518629982848
75% Corpus,8,0.31,0.9099999999999999,0.37310139144863985
75% Corpus,8,0.31,symmetric,0.37028889460740155
75% Corpus,8,0.61,0.01,0.4280423750096639
75% Corpus,8,0.61,0.31,0.34690100920331957
75% Corpus,8,0.61,0.61,0.34074084194306425
75% Corpus,8,0.61,0.9099999999999999,0.40326261173308553
75% Corpus,8,0.61,symmetric,0.3543239256261487
75% Corpus,8,0.9099999999999999,0.01,0.5109725750751388
75% Corpus,8,0.9099999999999999,0.31,0.3607804477453656
75% Corpus,8,0.9099999999999999,0.61,0.5176253933848467
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.6000882803880212
75% Corpus,8,0.9099999999999999,symmetric,0.3743137100701974
75% Corpus,8,symmetric,0.01,0.3981955652199106
75% Corpus,8,symmetric,0.31,0.40824500520526735
75% Corpus,8,symmetric,0.61,0.4138000914283137
75% Corpus,8,symmetric,0.9099999999999999,0.42614507611743163
75% Corpus,8,symmetric,symmetric,0.39479947347575134
75% Corpus,8,asymmetric,0.01,0.4686486518934976
75% Corpus,8,asymmetric,0.31,0.5286490787592694
75% Corpus,8,asymmetric,0.61,0.5369978154216347
75% Corpus,8,asymmetric,0.9099999999999999,0.5275384708439999
75% Corpus,8,asymmetric,symmetric,0.45718753089964326
75% Corpus,9,0.01,0.01,0.40255461750935434
75% Corpus,9,0.01,0.31,0.3696170894287579
75% Corpus,9,0.01,0.61,0.3512251222894378
75% Corpus,9,0.01,0.9099999999999999,0.3193421181617154
75% Corpus,9,0.01,symmetric,0.40566808063671544
75% Corpus,9,0.31,0.01,0.4329095017271473
75% Corpus,9,0.31,0.31,0.4182161392983655
75% Corpus,9,0.31,0.61,0.4149483779994681
75% Corpus,9,0.31,0.9099999999999999,0.3864629074383201
75% Corpus,9,0.31,symmetric,0.4299226814987114
75% Corpus,9,0.61,0.01,0.4543314721601429
75% Corpus,9,0.61,0.31,0.3572638396789365
75% Corpus,9,0.61,0.61,0.3479852554855609
75% Corpus,9,0.61,0.9099999999999999,0.5169440206823726
75% Corpus,9,0.61,symmetric,0.3973646074248198
75% Corpus,9,0.9099999999999999,0.01,0.5242495601887502
75% Corpus,9,0.9099999999999999,0.31,0.34941138414875533
75% Corpus,9,0.9099999999999999,0.61,0.5818924299026736
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.6001640281837035
75% Corpus,9,0.9099999999999999,symmetric,0.4131376404483984
75% Corpus,9,symmetric,0.01,0.4250480664899874
75% Corpus,9,symmetric,0.31,0.40420431945407254
75% Corpus,9,symmetric,0.61,0.3686295994419563
75% Corpus,9,symmetric,0.9099999999999999,0.36101198757860664
75% Corpus,9,symmetric,symmetric,0.435166340115089
75% Corpus,9,asymmetric,0.01,0.5098684357717254
75% Corpus,9,asymmetric,0.31,0.5570446983066064
75% Corpus,9,asymmetric,0.61,0.5970111242587458
75% Corpus,9,asymmetric,0.9099999999999999,0.5786568224543926
75% Corpus,9,asymmetric,symmetric,0.5206343718702295
75% Corpus,10,0.01,0.01,0.3952572291024924
75% Corpus,10,0.01,0.31,0.37109499998510154
75% Corpus,10,0.01,0.61,0.37161931559766403
