Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.4237280302931848
75% Corpus,4,0.01,0.31,0.40136754653875223
75% Corpus,4,0.01,0.61,0.30724995026127816
75% Corpus,4,0.01,0.9099999999999999,0.3540997732600442
75% Corpus,4,0.01,symmetric,0.39821509172877645
75% Corpus,4,0.31,0.01,0.44253622269118487
75% Corpus,4,0.31,0.31,0.3565599229237203
75% Corpus,4,0.31,0.61,0.3483380608984109
75% Corpus,4,0.31,0.9099999999999999,0.3444861512999982
75% Corpus,4,0.31,symmetric,0.36076446661769956
75% Corpus,4,0.61,0.01,0.46003638651737333
75% Corpus,4,0.61,0.31,0.39983044498884956
75% Corpus,4,0.61,0.61,0.3593099496107052
75% Corpus,4,0.61,0.9099999999999999,0.3863653378709914
75% Corpus,4,0.61,symmetric,0.3888501879537031
75% Corpus,4,0.9099999999999999,0.01,0.4705913015904678
75% Corpus,4,0.9099999999999999,0.31,0.43254255746981246
75% Corpus,4,0.9099999999999999,0.61,0.3734528439079856
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3877941643036086
75% Corpus,4,0.9099999999999999,symmetric,0.42307482684589615
75% Corpus,4,symmetric,0.01,0.44358990880507565
75% Corpus,4,symmetric,0.31,0.37332717433455676
75% Corpus,4,symmetric,0.61,0.35810914417656986
75% Corpus,4,symmetric,0.9099999999999999,0.3421516004475691
75% Corpus,4,symmetric,symmetric,0.3717518815762819
75% Corpus,4,asymmetric,0.01,0.3688459647251693
75% Corpus,4,asymmetric,0.31,0.3355987917650395
75% Corpus,4,asymmetric,0.61,0.3836169459031796
75% Corpus,4,asymmetric,0.9099999999999999,0.3446523978674735
75% Corpus,4,asymmetric,symmetric,0.3575708682913459
75% Corpus,5,0.01,0.01,0.39694986207529254
75% Corpus,5,0.01,0.31,0.37250143020581533
75% Corpus,5,0.01,0.61,0.30617276361355533
75% Corpus,5,0.01,0.9099999999999999,0.3179273638291851
75% Corpus,5,0.01,symmetric,0.35928814762776246
75% Corpus,5,0.31,0.01,0.39696533848237736
75% Corpus,5,0.31,0.31,0.3360300972550377
75% Corpus,5,0.31,0.61,0.30130175064557935
75% Corpus,5,0.31,0.9099999999999999,0.2967770451390699
75% Corpus,5,0.31,symmetric,0.35724558923735666
75% Corpus,5,0.61,0.01,0.43880198368487305
75% Corpus,5,0.61,0.31,0.3508489135781187
75% Corpus,5,0.61,0.61,0.3642994314700805
75% Corpus,5,0.61,0.9099999999999999,0.33383561349293017
75% Corpus,5,0.61,symmetric,0.38367686178160343
75% Corpus,5,0.9099999999999999,0.01,0.4361318046866548
75% Corpus,5,0.9099999999999999,0.31,0.36371835394593466
75% Corpus,5,0.9099999999999999,0.61,0.32424618147979495
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.42611649169962273
75% Corpus,5,0.9099999999999999,symmetric,0.3794592697600038
75% Corpus,5,symmetric,0.01,0.3965052174691516
75% Corpus,5,symmetric,0.31,0.3248617369416526
75% Corpus,5,symmetric,0.61,0.3345597982803913
75% Corpus,5,symmetric,0.9099999999999999,0.3348234805483074
75% Corpus,5,symmetric,symmetric,0.3603320033429257
75% Corpus,5,asymmetric,0.01,0.44918438439789304
75% Corpus,5,asymmetric,0.31,0.32910600293056697
75% Corpus,5,asymmetric,0.61,0.34988385214819323
75% Corpus,5,asymmetric,0.9099999999999999,0.3407066208112119
75% Corpus,5,asymmetric,symmetric,0.3908997357292857
75% Corpus,6,0.01,0.01,0.3468176775819634
75% Corpus,6,0.01,0.31,0.342935233646177
75% Corpus,6,0.01,0.61,0.33612294447934726
75% Corpus,6,0.01,0.9099999999999999,0.29231551458418986
75% Corpus,6,0.01,symmetric,0.3648319803112545
75% Corpus,6,0.31,0.01,0.36227270682909646
75% Corpus,6,0.31,0.31,0.3583044787896945
75% Corpus,6,0.31,0.61,0.3471822358311915
75% Corpus,6,0.31,0.9099999999999999,0.31459793521783747
75% Corpus,6,0.31,symmetric,0.37918709560560493
75% Corpus,6,0.61,0.01,0.41050761358791094
75% Corpus,6,0.61,0.31,0.3398017144180551
75% Corpus,6,0.61,0.61,0.3091707667196088
75% Corpus,6,0.61,0.9099999999999999,0.31476395569961796
75% Corpus,6,0.61,symmetric,0.3509294468821631
75% Corpus,6,0.9099999999999999,0.01,0.466112190009277
75% Corpus,6,0.9099999999999999,0.31,0.35345943244932093
75% Corpus,6,0.9099999999999999,0.61,0.396182587934193
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.42881189895106714
75% Corpus,6,0.9099999999999999,symmetric,0.3760026844540851
