Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.4719341114122294
75% Corpus,4,0.01,0.31,0.44659918542780963
75% Corpus,4,0.01,0.61,0.5027607106647818
75% Corpus,4,0.01,0.9099999999999999,0.5084976266754428
75% Corpus,4,0.01,symmetric,0.47354697875361157
75% Corpus,4,0.31,0.01,0.5266943442358295
75% Corpus,4,0.31,0.31,0.49966078094001215
75% Corpus,4,0.31,0.61,0.43977532528529245
75% Corpus,4,0.31,0.9099999999999999,0.4636969311379682
75% Corpus,4,0.31,symmetric,0.47398564042836877
75% Corpus,4,0.61,0.01,0.46322374329744875
75% Corpus,4,0.61,0.31,0.4436666654189303
75% Corpus,4,0.61,0.61,0.4331797534408477
75% Corpus,4,0.61,0.9099999999999999,0.43021835846013273
75% Corpus,4,0.61,symmetric,0.4604288492165073
75% Corpus,4,0.9099999999999999,0.01,0.5235978170633685
75% Corpus,4,0.9099999999999999,0.31,0.43746923026182044
75% Corpus,4,0.9099999999999999,0.61,0.42899599715096176
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.38268455865991813
75% Corpus,4,0.9099999999999999,symmetric,0.45385603080724335
75% Corpus,4,symmetric,0.01,0.4574681020578317
75% Corpus,4,symmetric,0.31,0.4709860319746098
75% Corpus,4,symmetric,0.61,0.4670723942456578
75% Corpus,4,symmetric,0.9099999999999999,0.435640127703572
75% Corpus,4,symmetric,symmetric,0.45320428001732377
75% Corpus,4,asymmetric,0.01,0.42846616961765416
75% Corpus,4,asymmetric,0.31,0.3614060680354658
75% Corpus,4,asymmetric,0.61,0.4056589245918554
75% Corpus,4,asymmetric,0.9099999999999999,0.4098095357580945
75% Corpus,4,asymmetric,symmetric,0.3654840432813148
75% Corpus,5,0.01,0.01,0.4724316550717022
75% Corpus,5,0.01,0.31,0.45095187720040186
75% Corpus,5,0.01,0.61,0.44509390889851924
75% Corpus,5,0.01,0.9099999999999999,0.45370995769780703
75% Corpus,5,0.01,symmetric,0.44748544092949166
75% Corpus,5,0.31,0.01,0.41266406307272563
75% Corpus,5,0.31,0.31,0.43738221111391234
75% Corpus,5,0.31,0.61,0.44087258772864857
75% Corpus,5,0.31,0.9099999999999999,0.44151254114337446
75% Corpus,5,0.31,symmetric,0.4299177179781079
75% Corpus,5,0.61,0.01,0.48201336690574415
75% Corpus,5,0.61,0.31,0.4498223991126455
75% Corpus,5,0.61,0.61,0.4175849396981718
75% Corpus,5,0.61,0.9099999999999999,0.3998016627538575
75% Corpus,5,0.61,symmetric,0.4658185625801175
75% Corpus,5,0.9099999999999999,0.01,0.48451598166883086
75% Corpus,5,0.9099999999999999,0.31,0.44092862523933307
75% Corpus,5,0.9099999999999999,0.61,0.356119022543964
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4842897654602627
75% Corpus,5,0.9099999999999999,symmetric,0.4690615497845846
75% Corpus,5,symmetric,0.01,0.4173740037237053
75% Corpus,5,symmetric,0.31,0.4544532743455436
75% Corpus,5,symmetric,0.61,0.4218249071273249
75% Corpus,5,symmetric,0.9099999999999999,0.43380203589981436
75% Corpus,5,symmetric,symmetric,0.4637091127293094
75% Corpus,5,asymmetric,0.01,0.404808166512176
75% Corpus,5,asymmetric,0.31,0.42995623082338863
75% Corpus,5,asymmetric,0.61,0.43266735572642256
75% Corpus,5,asymmetric,0.9099999999999999,0.4255195264164405
75% Corpus,5,asymmetric,symmetric,0.43539622928912686
75% Corpus,6,0.01,0.01,0.4439921964059656
75% Corpus,6,0.01,0.31,0.4311066463859372
75% Corpus,6,0.01,0.61,0.43351388190530615
75% Corpus,6,0.01,0.9099999999999999,0.4340933205725504
75% Corpus,6,0.01,symmetric,0.43508770731456653
75% Corpus,6,0.31,0.01,0.4604028483833357
75% Corpus,6,0.31,0.31,0.4225916085902244
75% Corpus,6,0.31,0.61,0.42582868475678465
75% Corpus,6,0.31,0.9099999999999999,0.4480592106708139
75% Corpus,6,0.31,symmetric,0.4497214016392879
75% Corpus,6,0.61,0.01,0.47708260846474815
75% Corpus,6,0.61,0.31,0.44183775788175894
75% Corpus,6,0.61,0.61,0.41756671069764756
75% Corpus,6,0.61,0.9099999999999999,0.349473448438912
75% Corpus,6,0.61,symmetric,0.4820615958734018
75% Corpus,6,0.9099999999999999,0.01,0.5029947479403686
75% Corpus,6,0.9099999999999999,0.31,0.4224824046106364
75% Corpus,6,0.9099999999999999,0.61,0.34520643608153856
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5481986094528005
75% Corpus,6,0.9099999999999999,symmetric,0.4829231563800496
75% Corpus,6,symmetric,0.01,0.4778708730591788
75% Corpus,6,symmetric,0.31,0.467132230979467
75% Corpus,6,symmetric,0.61,0.4226574555447739
75% Corpus,6,symmetric,0.9099999999999999,0.4149573291223392
75% Corpus,6,symmetric,symmetric,0.4617360910893868
75% Corpus,6,asymmetric,0.01,0.44802656971021976
75% Corpus,6,asymmetric,0.31,0.4743801014037699
75% Corpus,6,asymmetric,0.61,0.4714844223491168
75% Corpus,6,asymmetric,0.9099999999999999,0.4298971307677019
75% Corpus,6,asymmetric,symmetric,0.4933033268857234
75% Corpus,7,0.01,0.01,0.44688590313920884
75% Corpus,7,0.01,0.31,0.4253339161829821
75% Corpus,7,0.01,0.61,0.41837910839360015
75% Corpus,7,0.01,0.9099999999999999,0.4560621373371672
75% Corpus,7,0.01,symmetric,0.41268782999930215
75% Corpus,7,0.31,0.01,0.42840337909573123
75% Corpus,7,0.31,0.31,0.40860739841448784
75% Corpus,7,0.31,0.61,0.40731207724154495
75% Corpus,7,0.31,0.9099999999999999,0.39242948540476313
75% Corpus,7,0.31,symmetric,0.42532617819798524
75% Corpus,7,0.61,0.01,0.4749262370927697
75% Corpus,7,0.61,0.31,0.40380871937108903
75% Corpus,7,0.61,0.61,0.3985371864924056
75% Corpus,7,0.61,0.9099999999999999,0.29936486130586865
75% Corpus,7,0.61,symmetric,0.46865596151969496
75% Corpus,7,0.9099999999999999,0.01,0.4938831820102096
75% Corpus,7,0.9099999999999999,0.31,0.3888133623371633
75% Corpus,7,0.9099999999999999,0.61,0.46412828781634774
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5624513858776684
75% Corpus,7,0.9099999999999999,symmetric,0.4617111673277842
75% Corpus,7,symmetric,0.01,0.42193389773899354
75% Corpus,7,symmetric,0.31,0.43709641335334337
75% Corpus,7,symmetric,0.61,0.41162890412048847
75% Corpus,7,symmetric,0.9099999999999999,0.437726854112048
75% Corpus,7,symmetric,symmetric,0.4500135949256641
75% Corpus,7,asymmetric,0.01,0.4170367565198917
75% Corpus,7,asymmetric,0.31,0.43239267723873154
75% Corpus,7,asymmetric,0.61,0.4748316892092993
75% Corpus,7,asymmetric,0.9099999999999999,0.47235546728628625
75% Corpus,7,asymmetric,symmetric,0.43233817653339707
75% Corpus,8,0.01,0.01,0.3918960468541654
75% Corpus,8,0.01,0.31,0.41033410136469406
75% Corpus,8,0.01,0.61,0.4168917269213646
75% Corpus,8,0.01,0.9099999999999999,0.40754264585991246
75% Corpus,8,0.01,symmetric,0.3963020452649737
75% Corpus,8,0.31,0.01,0.40976941207185247
75% Corpus,8,0.31,0.31,0.3983872302389241
75% Corpus,8,0.31,0.61,0.39211303598043573
75% Corpus,8,0.31,0.9099999999999999,0.38374818642699526
75% Corpus,8,0.31,symmetric,0.4065943710762848
