Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.01,0.4069083179766571
75% Corpus,4,0.01,0.31,0.4452173503546786
75% Corpus,4,0.01,0.61,0.4518170355759593
75% Corpus,4,0.01,0.9099999999999999,0.4347045885481018
75% Corpus,4,0.01,symmetric,0.44439925155706117
75% Corpus,4,0.31,0.01,0.4034646277967091
75% Corpus,4,0.31,0.31,0.4057807910772943
75% Corpus,4,0.31,0.61,0.4193557166644827
75% Corpus,4,0.31,0.9099999999999999,0.4122956972359626
75% Corpus,4,0.31,symmetric,0.40386355448615274
75% Corpus,4,0.61,0.01,0.4504648429276611
75% Corpus,4,0.61,0.31,0.4124617814321887
75% Corpus,4,0.61,0.61,0.3922776284784777
75% Corpus,4,0.61,0.9099999999999999,0.37872645753861583
75% Corpus,4,0.61,symmetric,0.39754121115701746
75% Corpus,4,0.9099999999999999,0.01,0.44186147991040514
75% Corpus,4,0.9099999999999999,0.31,0.4234032783028068
75% Corpus,4,0.9099999999999999,0.61,0.3944320722266293
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.36894363622590487
75% Corpus,4,0.9099999999999999,symmetric,0.42742658823419694
75% Corpus,4,symmetric,0.01,0.4057157860095215
75% Corpus,4,symmetric,0.31,0.4144007154084169
75% Corpus,4,symmetric,0.61,0.41054392369415044
75% Corpus,4,symmetric,0.9099999999999999,0.4049137415052793
75% Corpus,4,symmetric,symmetric,0.4093707697805715
75% Corpus,4,asymmetric,0.01,0.4383210624813375
75% Corpus,4,asymmetric,0.31,0.4452762390909527
75% Corpus,4,asymmetric,0.61,0.4350613583715566
75% Corpus,4,asymmetric,0.9099999999999999,0.4125733651607191
75% Corpus,4,asymmetric,symmetric,0.44797857886213344
75% Corpus,5,0.01,0.01,0.42078000185273945
75% Corpus,5,0.01,0.31,0.4256409379781866
75% Corpus,5,0.01,0.61,0.4294662942329734
75% Corpus,5,0.01,0.9099999999999999,0.431145348199992
75% Corpus,5,0.01,symmetric,0.40306697032447303
75% Corpus,5,0.31,0.01,0.41658768865233115
75% Corpus,5,0.31,0.31,0.41196234940948245
75% Corpus,5,0.31,0.61,0.40286405445895646
75% Corpus,5,0.31,0.9099999999999999,0.3919893634940127
75% Corpus,5,0.31,symmetric,0.4177552936364606
75% Corpus,5,0.61,0.01,0.41967520836354766
75% Corpus,5,0.61,0.31,0.4171004328506154
75% Corpus,5,0.61,0.61,0.4028065512771641
75% Corpus,5,0.61,0.9099999999999999,0.4019295561944686
75% Corpus,5,0.61,symmetric,0.41379159122083636
75% Corpus,5,0.9099999999999999,0.01,0.40524813428870576
75% Corpus,5,0.9099999999999999,0.31,0.4219231754113043
75% Corpus,5,0.9099999999999999,0.61,0.4375773656296807
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4322981774844645
75% Corpus,5,0.9099999999999999,symmetric,0.4103866007202834
75% Corpus,5,symmetric,0.01,0.396262452648086
75% Corpus,5,symmetric,0.31,0.40233963833712216
75% Corpus,5,symmetric,0.61,0.40325447737645126
75% Corpus,5,symmetric,0.9099999999999999,0.38789702624941025
75% Corpus,5,symmetric,symmetric,0.41913868956937306
75% Corpus,5,asymmetric,0.01,0.4070646479870275
75% Corpus,5,asymmetric,0.31,0.37579719639530873
75% Corpus,5,asymmetric,0.61,0.3686906541543916
75% Corpus,5,asymmetric,0.9099999999999999,0.42009734981740376
75% Corpus,5,asymmetric,symmetric,0.4058143314079173
75% Corpus,6,0.01,0.01,0.3883155860073925
75% Corpus,6,0.01,0.31,0.3864595744868961
75% Corpus,6,0.01,0.61,0.3644270840902644
75% Corpus,6,0.01,0.9099999999999999,0.38054997625950165
75% Corpus,6,0.01,symmetric,0.37992062221563394
75% Corpus,6,0.31,0.01,0.38404867669118214
75% Corpus,6,0.31,0.31,0.38125105685355304
75% Corpus,6,0.31,0.61,0.39410199245392835
75% Corpus,6,0.31,0.9099999999999999,0.38157479415627304
75% Corpus,6,0.31,symmetric,0.3827618623985007
75% Corpus,6,0.61,0.01,0.4014418235807235
75% Corpus,6,0.61,0.31,0.39074226314559907
75% Corpus,6,0.61,0.61,0.39151991226850086
75% Corpus,6,0.61,0.9099999999999999,0.36456046358115923
75% Corpus,6,0.61,symmetric,0.38088862598031925
75% Corpus,6,0.9099999999999999,0.01,0.39053689832706673
75% Corpus,6,0.9099999999999999,0.31,0.38135306068187247
75% Corpus,6,0.9099999999999999,0.61,0.39532245764533086
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.38159925734432587
